name,id_name,2024-07-03,2024-08-26,2024-04-30,2024-01-22,2024-09-27,2024-06-04,2024-10-21
granite-20b-code-instruction-8k,granite-code-unknown-unknown-unknown-20-8-instruct-false,,,,,,,
granite-8b-code-instruction-128k,granite-code-unknown-unknown-unknown-8-128-instruct-false,,,,,,,
ibm-granite/granite-3.0-2b-instruct,granite-unknown-unknown-3-unknown-2-unknown-instruct-false,,,,,,,
ibm-granite/granite-3.0-8b-instruct,granite-unknown-unknown-3-unknown-8-unknown-instruct-false,,,,,,,
ibmwatsonxai/granite-20b-code-instruction-8k,granite-code-unknown-unknown-unknown-20-8-instruct-false,,,,,,,
ibmwatsonxai/granite-8b-code-instruction-128k,granite-code-unknown-unknown-unknown-8-128-instruct-false,,,,,,,
llama-2-13b,llama-unknown-unknown-2-unknown-13-unknown-unknown-false,,,,,,,
llama-2-13b-chat,llama-unknown-unknown-2-unknown-13-unknown-unknown-false,,,,,,,
llama-2-70b,llama-unknown-unknown-2-unknown-70-unknown-unknown-false,,,,,,,
llama-2-70b-chat,llama-unknown-unknown-2-unknown-70-unknown-unknown-false,,,,,,,
llama-2-7b,llama-unknown-unknown-2-unknown-7-unknown-unknown-false,,,,,,,
llama-2-7b-chat,llama-unknown-unknown-2-unknown-7-unknown-chat-false,,,,,,,
llama-3-70b,llama-unknown-unknown-3-unknown-70-unknown-unknown-false,,,,,,,
llama-3-70b-instruct,llama-unknown-unknown-3-unknown-70-unknown-instruct-false,,,,,,,
llama-3-8b-instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,,,,,,,
meta-llama-3-70b,llama-unknown-unknown-3-unknown-70-unknown-unknown-false,,,,,,,
meta-llama-3-70b-instruct,llama-unknown-unknown-3-unknown-70-unknown-instruct-false,,,,,,,
meta-llama-3-8b,llama-unknown-unknown-3-unknown-8-unknown-unknown-false,,,,,,,
meta-llama-3-8b-instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,,,,,,,
meta/llama-2-13b,llama-unknown-unknown-2-unknown-13-unknown-unknown-false,,,,,,,
meta/llama-2-13b-chat,llama-unknown-unknown-2-unknown-13-unknown-chat-false,,,,,,,
meta/llama-2-70b,llama-unknown-unknown-2-unknown-70-unknown-unknown-false,,,,,,,
meta/llama-2-70b-chat,llama-unknown-unknown-2-unknown-70-unknown-chat-false,,,,,,,
meta/llama-2-7b-chat,llama-unknown-unknown-2-unknown-7-unknown-chat-false,,,,,,,
meta/meta-llama-3-70b,llama-unknown-unknown-3-unknown-70-unknown-unknown-false,,,,,,,
meta/meta-llama-3-70b-instruct,llama-unknown-unknown-3-unknown-70-unknown-instruct-false,,,,,,,
meta/meta-llama-3-8b,llama-unknown-unknown-3-unknown-8-unknown-unknown-false,,,,,,,
meta/meta-llama-3-8b-instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,,,,,,,
meta/meta-llama-3.1-405b-instruct,llama-unknown-unknown-3.1-unknown-405-unknown-instruct-false,,,,,,,
mistral-7b-instruct-v0.2,mistral-instruct-unknown-0.2-unknown-7-unknown-unknown-false,,,,,,,
mistral-7b-v0.1,mistral-unknown-unknown-0.1-unknown-7-unknown-unknown-false,,,,,,,
mistralai/mistral-7b-instruct-v0.2,mistral-unknown-unknown-0.2-unknown-7-unknown-instruct-false,,,,,,,
mistralai/mistral-7b-v0.1,mistral-unknown-unknown-0.1-unknown-7-unknown-unknown-false,,,,,,,
mistralai/mixtral-8x7b-instruct-v0.1,mixtral-unknown-unknown-0.1-unknown-8x7-unknown-instruct-false,,,,,,,
mixtral-8x7b-instruct-v0.1,mixtral-unknown-unknown-0.1-unknown-8x7-unknown-unknown-false,,,,,,,
